body,tail,model_type,popSize,paralell,computing_time
Burr,Pareto-Tail,disjoint,5000,False,218.6346595287323
Burr,Pareto-Tail,simple,5000,False,170.61039781570435
Burr,Pareto-Tail,continuous,5000,False,178.18029594421387
Burr,GPD-Tail,disjoint,5000,False,263.93360209465027
Burr,GPD-Tail,simple,5000,False,223.19931364059448
Burr,GPD-Tail,continuous,5000,False,253.1725788116455
Exp,Pareto-Tail,disjoint,5000,False,23.443551540374756
Exp,Pareto-Tail,simple,5000,False,19.34499955177307
Exp,Pareto-Tail,continuous,5000,False,17.42513394355774
Exp,GPD-Tail,disjoint,5000,False,32.766692876815796
Exp,GPD-Tail,simple,5000,False,23.038423776626587
Exp,GPD-Tail,continuous,5000,False,26.030782222747803
Weibull,Pareto-Tail,disjoint,5000,False,134.97671246528625
Weibull,Pareto-Tail,simple,5000,False,91.94285416603088
Weibull,Pareto-Tail,continuous,5000,False,86.28377270698547
Weibull,GPD-Tail,disjoint,5000,False,157.25905752182007
Weibull,GPD-Tail,simple,5000,False,119.87928056716919
Weibull,GPD-Tail,continuous,5000,False,145.54019403457642
Burr,Pareto-Tail,disjoint,10000,False,511.99284267425537
Burr,Pareto-Tail,simple,10000,False,427.37932801246643
Burr,Pareto-Tail,continuous,10000,False,418.3203561306
Burr,GPD-Tail,disjoint,10000,False,638.2563610076904
Burr,GPD-Tail,simple,10000,False,483.4823307991028
Burr,GPD-Tail,continuous,10000,False,467.60754656791687
Exp,Pareto-Tail,disjoint,10000,False,44.637365102767944
Exp,Pareto-Tail,simple,10000,False,32.60684156417847
Exp,Pareto-Tail,continuous,10000,False,33.406243085861206
Exp,GPD-Tail,disjoint,10000,False,74.61317729949951
Exp,GPD-Tail,simple,10000,False,48.846076250076294
Exp,GPD-Tail,continuous,10000,False,55.22445487976074
Weibull,Pareto-Tail,disjoint,10000,False,300.83107352256775
Weibull,Pareto-Tail,simple,10000,False,194.007830619812
Weibull,Pareto-Tail,continuous,10000,False,198.34737467765808
Weibull,GPD-Tail,disjoint,10000,False,337.1925849914551
Weibull,GPD-Tail,simple,10000,False,229.72660613059998
Weibull,GPD-Tail,continuous,10000,False,234.9676365852356
Burr,Pareto-Tail,disjoint,20000,False,970.295774936676
Burr,Pareto-Tail,simple,20000,False,713.6790895462036
Burr,Pareto-Tail,continuous,20000,False,711.7842254638672
Burr,GPD-Tail,disjoint,20000,False,1048.8268313407898
Burr,GPD-Tail,simple,20000,False,894.1167724132538
Burr,GPD-Tail,continuous,20000,False,965.9944503307343
Exp,Pareto-Tail,disjoint,20000,False,77.23332619667053
Exp,Pareto-Tail,simple,20000,False,61.620049715042114
Exp,Pareto-Tail,continuous,20000,False,56.64953923225403
Exp,GPD-Tail,disjoint,20000,False,107.87874865531921
Exp,GPD-Tail,simple,20000,False,74.05399584770203
Exp,GPD-Tail,continuous,20000,False,72.00787711143494
Weibull,Pareto-Tail,disjoint,20000,False,468.28555369377136
Weibull,Pareto-Tail,simple,20000,False,326.0677773952484
Weibull,Pareto-Tail,continuous,20000,False,325.7782380580902
Weibull,GPD-Tail,disjoint,20000,False,632.3280289173126
Weibull,GPD-Tail,simple,20000,False,459.1170563697815
Weibull,GPD-Tail,continuous,20000,False,560.9116287231445
Burr,Pareto-Tail,disjoint,5000,True,131.7707896232605
Burr,Pareto-Tail,simple,5000,True,106.54266595840454
Burr,Pareto-Tail,continuous,5000,True,106.4769058227539
Burr,GPD-Tail,disjoint,5000,True,158.4724509716034
Burr,GPD-Tail,simple,5000,True,134.11064887046814
Burr,GPD-Tail,continuous,5000,True,128.2089548110962
Exp,Pareto-Tail,disjoint,5000,True,22.492560625076294
Exp,Pareto-Tail,simple,5000,True,17.60841679573059
Exp,Pareto-Tail,continuous,5000,True,16.340292930603027
Exp,GPD-Tail,disjoint,5000,True,26.970348834991455
Exp,GPD-Tail,simple,5000,True,21.13027596473694
Exp,GPD-Tail,continuous,5000,True,20.8713538646698
Weibull,Pareto-Tail,disjoint,5000,True,71.25087690353394
Weibull,Pareto-Tail,simple,5000,True,63.02956771850586
Weibull,Pareto-Tail,continuous,5000,True,57.2849702835083
Weibull,GPD-Tail,disjoint,5000,True,96.82821869850159
Weibull,GPD-Tail,simple,5000,True,69.81648993492126
Weibull,GPD-Tail,continuous,5000,True,71.80454969406128
Burr,Pareto-Tail,disjoint,10000,True,229.28711223602295
Burr,Pareto-Tail,simple,10000,True,187.89889931678772
Burr,Pareto-Tail,continuous,10000,True,185.71433353424072
Burr,GPD-Tail,disjoint,10000,True,262.5024845600128
Burr,GPD-Tail,simple,10000,True,220.16662883758545
Burr,GPD-Tail,continuous,10000,True,219.8138782978058
Exp,Pareto-Tail,disjoint,10000,True,33.2506582736969
Exp,Pareto-Tail,simple,10000,True,26.581928491592407
Exp,Pareto-Tail,continuous,10000,True,23.270106554031372
Exp,GPD-Tail,disjoint,10000,True,41.39983129501343
Exp,GPD-Tail,simple,10000,True,31.637293100357056
Exp,GPD-Tail,continuous,10000,True,31.448023796081543
Weibull,Pareto-Tail,disjoint,10000,True,128.40511989593506
Weibull,Pareto-Tail,simple,10000,True,92.49892044067383
Weibull,Pareto-Tail,continuous,10000,True,93.64955854415894
Weibull,GPD-Tail,disjoint,10000,True,161.3062925338745
Weibull,GPD-Tail,simple,10000,True,120.96739721298218
Weibull,GPD-Tail,continuous,10000,True,130.9858317375183
Burr,Pareto-Tail,disjoint,20000,True,452.4425528049469
Burr,Pareto-Tail,simple,20000,True,369.63070917129517
Burr,Pareto-Tail,continuous,20000,True,372.7022895812988
Burr,GPD-Tail,disjoint,20000,True,557.2137825489044
Burr,GPD-Tail,simple,20000,True,433.2493586540222
Burr,GPD-Tail,continuous,20000,True,432.7118911743164
Exp,Pareto-Tail,disjoint,20000,True,56.50006055831909
Exp,Pareto-Tail,simple,20000,True,44.85926270484924
Exp,Pareto-Tail,continuous,20000,True,40.49030685424805
Exp,GPD-Tail,disjoint,20000,True,73.39377331733704
Exp,GPD-Tail,simple,20000,True,53.388004302978516
Exp,GPD-Tail,continuous,20000,True,53.894967794418335
Weibull,Pareto-Tail,disjoint,20000,True,247.887779712677
Weibull,Pareto-Tail,simple,20000,True,178.3016607761383
Weibull,Pareto-Tail,continuous,20000,True,178.77572870254517
Weibull,GPD-Tail,disjoint,20000,True,321.48382091522217
Weibull,GPD-Tail,simple,20000,True,240.0703568458557
Weibull,GPD-Tail,continuous,20000,True,257.2867488861084
