body,tail,model_type,popSize,paralell,computing_time
Burr,GPD-Tail,disjoint,20000,True,295.2315311431885
Burr,GPD-Tail,simple,20000,True,234.3293707370758
Burr,GPD-Tail,continuous,20000,True,232.16844153404236
Exp,Pareto-Tail,disjoint,20000,True,51.34193468093872
Exp,Pareto-Tail,simple,20000,True,41.5019588470459
Exp,Pareto-Tail,continuous,20000,True,36.29148840904236
Exp,GPD-Tail,disjoint,20000,True,62.89268660545349
Exp,GPD-Tail,simple,20000,True,47.70255255699158
Exp,GPD-Tail,continuous,20000,True,47.344337463378906
Weibull,Pareto-Tail,disjoint,20000,True,145.4325180053711
Weibull,Pareto-Tail,simple,20000,True,104.36474919319153
Weibull,Pareto-Tail,continuous,20000,True,105.000568151474
Weibull,GPD-Tail,disjoint,20000,True,3759.8026876449585
Weibull,GPD-Tail,simple,20000,True,119.10619068145752
Weibull,GPD-Tail,continuous,20000,True,143.14257669448853
