,sim,model_name,nobs,γ_map,log_marg,Wass_dist,posterior_probability
0,0,Exp_Weibull_continuous,1000.0,2.5695306570913435e-05,-546.185607118562,61.624847009464276,4.015502114984287e-08
1,0,Exp_Lognormal_continuous,1000.0,0.08265879142725482,-600.9409382174674,74.67742854491279,6.665023851893539e-32
2,0,Exp_Log-Logistic_continuous,1000.0,5.636918059461452e-05,-603.3040574627693,4265.464187684638,6.27353116292047e-33
3,0,Exp_Lomax_continuous,1000.0,0.08438033147202509,-603.7067771671688,147.20576302757382,4.1938521352349495e-33
4,0,Exp_Burr_continuous,1000.0,2.6163974963268186e-05,-557.1586047822672,144.2242400469028,6.890131707679383e-13
5,0,Exp_Pareto-Tail_continuous,1000.0,0.47732910926519223,-688.8175504541142,2934.490305961372,4.5653483930170114e-70
6,0,Exp_GPD-Tail_continuous,1000.0,0.08468305130083814,-604.1079913022905,158.44467397042692,2.807812022795598e-33
7,0,Exp_Inverse-Gamma_continuous,1000.0,0.12374575713630363,-618.1961048253432,641.1131233318079,2.1378541138067184e-39
8,0,Exp_Inverse-Weibull_continuous,1000.0,0.11091271915209076,-620.9685141264398,879.8238785473684,1.3363985777804757e-40
9,0,Exp_Exp_continuous,1000.0,0.8653969893317354,-674.5761463689913,141.2301385082311,6.989355554105573e-64
10,0,Exp_Gamma_continuous,1000.0,0.00012985381532864193,-566.5613341074882,180.9758283321315,5.684261681108391e-17
11,0,Gamma_Weibull_continuous,1000.0,0.8990084055163743,-530.6777579710855,216.48733928823583,0.2181288802385156
12,0,Gamma_Lognormal_continuous,1000.0,1.1921033491817106,-530.8084968224452,60.53021835453786,0.19139650726494165
13,0,Gamma_Log-Logistic_continuous,1000.0,1.5305454963681486,-533.1640150916261,55.58189192461486,0.018152875198711678
14,0,Gamma_Lomax_continuous,1000.0,1.1794751316277128,-532.396867967432,75.15159589314325,0.03909427690301205
15,0,Gamma_Burr_continuous,1000.0,1.2741648434628738,-532.8150321808236,65.28526420821355,0.025733969051196307
16,0,Gamma_Pareto-Tail_continuous,1000.0,2.548293364676809,-539.8736319653667,194.70662032296784,2.2130735004731676e-05
17,0,Gamma_GPD-Tail_continuous,1000.0,1.3714855647965527,-531.274764541606,33.26233953259337,0.12007055295897241
18,0,Gamma_Inverse-Gamma_continuous,1000.0,1.4480077919706085,-533.3625196724975,50.4594251450141,0.014884559201807502
19,0,Gamma_Inverse-Weibull_continuous,1000.0,1.5208310444828934,-533.8243831629857,68.70112265060818,0.00937888503696112
20,0,Gamma_Exp_continuous,1000.0,2.409473432947818,-536.534098343775,72.28444306163084,0.0006242188251031743
21,0,Gamma_Gamma_continuous,1000.0,1.3671277878692758,-532.5446472989058,92.54576792508064,0.033723561724961694
