,sim,model_name,nobs,log_marg,γ_map,γ_true,cap005,cap01,cap05,cap005_true,cap01_true,cap05_true,posterior_probability
0,0,Weibull_Log-Logistic,5000,-3823.66222982919,2.566334622550233,1.5,-393.31601501165215,-257.23748597857457,-87.39400247154823,-176.26278572288106,-128.95343055747384,-54.59176095224814,0.19990006509000519
1,0,Weibull_Lomax,5000,-3822.480562754202,2.0444092908623803,1.5,-237.51896653241457,-165.31422762486955,-65.3275658951194,-176.26278572288106,-128.95343055747384,-54.59176095224814,0.65163503446301
2,0,Weibull_Inverse-Weibull,5000,-3823.9596988266303,2.8579120844571713,1.5,-430.53880472464897,-282.8753385730937,-96.32251498706948,-176.26278572288106,-128.95343055747384,-54.59176095224814,0.14846490044698488
3,0,Inverse-Weibull_Log-Logistic,5000,-3959.3107558614793,0.18097555025029,1.5,-2581.792724338876,-1575.0594816935663,-476.3724871624937,-176.26278572288106,-128.95343055747384,-54.59176095224814,2.4513572125727495e-60
4,0,Inverse-Weibull_Lomax,5000,-3926.5708762152144,0.12304207312305805,1.5,-465.54100215391014,-318.0005604734351,-118.33281700408597,-176.26278572288106,-128.95343055747384,-54.59176095224814,4.056539133186193e-46
5,0,Inverse-Weibull_Inverse-Weibull,5000,-3981.6833048773065,2.1593900893795968,1.5,-438.0001894616602,-286.416549418542,-91.73010706396359,-176.26278572288106,-128.95343055747384,-54.59176095224814,4.711205167979578e-70
0,0,BMA,5000,,2.2695188099032997,1.5,-297.3194777257481,-201.1433915864256,-74.34031003434774,-176.26278572288106,-128.95343055747384,-54.59176095224814,
0,1,Weibull_Log-Logistic,5000,-3834.415423137985,1.6766112480403663,1.5,-471.2882469186207,-311.4906494795826,-105.79262495562156,-176.26278572288106,-128.95343055747384,-54.59176095224814,0.24316216744835314
1,1,Weibull_Lomax,5000,-3833.411496614884,1.8688359426221879,1.5,-295.3965774014267,-203.65748255185548,-76.41614856983097,-176.26278572288106,-128.95343055747384,-54.59176095224814,0.6635837694029901
2,1,Weibull_Inverse-Weibull,5000,-3835.3738240842827,1.9397968477003462,1.5,-569.0759597723472,-370.77002389052285,-121.92973764850056,-176.26278572288106,-128.95343055747384,-54.59176095224814,0.09325406314865678
3,1,Inverse-Weibull_Log-Logistic,5000,-3915.310348067773,0.3219344483981531,1.5,-1597.0941776011484,-952.1221201990836,-300.2942133134889,-176.26278572288106,-128.95343055747384,-54.59176095224814,1.7933972309781555e-36
4,1,Inverse-Weibull_Lomax,5000,-3889.8241322360436,0.15873839582591454,1.5,-415.6281500854711,-285.889195656258,-107.4097894597703,-176.26278572288106,-128.95343055747384,-54.59176095224814,2.099903779349918e-25
5,1,Inverse-Weibull_Inverse-Weibull,5000,-3919.651087213018,1.5236760593932541,1.5,-585.0154873643254,-375.9350686871395,-113.19414267324089,-176.26278572288106,-128.95343055747384,-54.59176095224814,2.3362398992054648e-38
0,1,BMA,5000,,1.8287115619738192,1.5,-363.68849140344025,-245.46235262775028,-87.80372334985944,-176.26278572288106,-128.95343055747384,-54.59176095224814,
