,sim,model_name,nobs,log_marg,γ_map,γ_true,cap005,cap01,cap05,cap005_true,cap01_true,cap05_true,posterior_probability
0,0,Weibull_Log-Logistic,2000,-3236.3717177864937,4.004888696742951,2.5,-74.88306359744855,-57.45003145762113,-23.141748766385284,-74.39652220926557,-63.904877909676244,-36.87617397759827,0.3391467271958911
1,0,Weibull_Lomax,2000,-3236.1420331666645,4.060989566043251,2.5,-97.23563126348537,-84.15652760409252,-53.08920508439604,-74.39652220926557,-63.904877909676244,-36.87617397759827,0.42671547539299576
2,0,Weibull_Inverse-Weibull,2000,-3236.742241662304,5.006108829318289,2.5,-92.1412972585187,-74.39816859623694,-39.54106197995797,-74.39652220926557,-63.904877909676244,-36.87617397759827,0.23413759643979976
3,0,Inverse-Weibull_Log-Logistic,2000,-3271.2669368379984,0.9006106470733808,2.5,-154.65953889041117,-116.69835499343525,-55.71876973048611,-74.39652220926557,-63.904877909676244,-36.87617397759827,2.3745786108735267e-16
4,0,Inverse-Weibull_Lomax,2000,-3250.7104990046028,0.004345823939514311,2.5,-59.48305522504962,-49.626960139887196,-24.121334872119387,-74.39652220926557,-63.904877909676244,-36.87617397759827,2.009713131408621e-07
5,0,Inverse-Weibull_Inverse-Weibull,2000,-3278.934404974621,1.1596588983352074,2.5,-252.77172391015253,-174.71458212737596,-70.67620825933656,-74.39652220926557,-63.904877909676244,-36.87617397759827,1.110829615048137e-19
0,0,BMA,2000,,4.263250277210361,2.5,-88.46204838855508,-72.8143011783986,-39.760487801894286,-74.39652220926557,-63.904877909676244,-36.87617397759827,
0,1,Weibull_Log-Logistic,2000,-3196.262067777021,2.457638759613512,2.5,-60.46903942987992,-38.92458257685151,-2.440647968735078,-74.39652220926557,-63.904877909676244,-36.87617397759827,0.39058381576490436
1,1,Weibull_Lomax,2000,-3196.390912540017,3.110135043606926,2.5,-94.77491312757019,-77.95341304838055,-43.52673154915434,-74.39652220926557,-63.904877909676244,-36.87617397759827,0.34336630444012745
2,1,Weibull_Inverse-Weibull,2000,-3196.646026551083,3.04767568409206,2.5,-99.1110092302381,-73.59902449553807,-31.644091253515914,-74.39652220926557,-63.904877909676244,-36.87617397759827,0.26604987979489725
3,1,Inverse-Weibull_Log-Logistic,2000,-3239.2496809049,0.906666726006332,2.5,-130.99470408947116,-97.70856564422222,-44.924833999921546,-74.39652220926557,-63.904877909676244,-36.87617397759827,8.364328333123706e-20
4,1,Inverse-Weibull_Lomax,2000,-3225.5980687767014,0.00449602449150102,2.5,-51.35390294423245,-42.698653103226896,-18.224905512912283,-74.39652220926557,-63.904877909676244,-36.87617397759827,7.099878040778389e-14
5,1,Inverse-Weibull_Inverse-Weibull,2000,-3243.51768872073,1.5519521859631098,2.5,-99.6861706843449,-67.03389564828815,-16.648428394019714,-74.39652220926557,-63.904877909676244,-36.87617397759827,1.1718143960567497e-21
0,1,BMA,2000,,2.8386632501411406,2.5,-82.52921192246829,-61.55089896690265,-24.317797227176,-74.39652220926557,-63.904877909676244,-36.87617397759827,
0,2,Weibull_Log-Logistic,2000,-3248.518913917982,5.380835235418498,2.5,-74.21922596414151,-63.77122154838851,-37.16995785449677,-74.39652220926557,-63.904877909676244,-36.87617397759827,0.3931836910829046
1,2,Weibull_Lomax,2000,-3248.801818721154,5.595418827765352,2.5,-78.93060102618254,-68.90560210115892,-42.83887701504302,-74.39652220926557,-63.904877909676244,-36.87617397759827,0.2962998969624062
2,2,Weibull_Inverse-Weibull,2000,-3248.754954073124,5.994897751567019,2.5,-77.32019900270916,-67.0442040878331,-40.580715531485296,-74.39652220926557,-63.904877909676244,-36.87617397759827,0.31051641144195213
3,2,Inverse-Weibull_Log-Logistic,2000,-3288.4038714704,2.718898903638542,2.5,-58.759950375951085,-47.0351845687236,-19.15447569493264,-74.39652220926557,-63.904877909676244,-36.87617397759827,1.87403854610343e-18
4,2,Inverse-Weibull_Lomax,2000,-3268.9766932157318,0.006921947814312519,2.5,-61.82363571538269,-52.22388476971255,-26.909704902061943,-74.39652220926557,-63.904877909676244,-36.87617397759827,5.127372081998635e-10
5,2,Inverse-Weibull_Inverse-Weibull,2000,-3289.189646548244,3.0494279337458137,2.5,-59.809930821365796,-46.46348939756615,-17.062097000644865,-74.39652220926557,-63.904877909676244,-36.87617397759827,8.541236338570731e-19
0,2,BMA,2000,,5.635092817880744,2.5,-76.57810892313412,-66.30885276407992,-39.908754246550586,-74.39652220926557,-63.904877909676244,-36.87617397759827,
0,3,Weibull_Log-Logistic,2000,-3195.5872127944863,3.783946447686967,2.5,-61.521457397794336,-47.841370755118426,-18.037883126164942,-74.39652220926557,-63.904877909676244,-36.87617397759827,7.809693790671888e-05
1,3,Weibull_Lomax,2000,-3195.7368367544805,4.444853814691581,2.5,-82.41352403558811,-69.84147526817596,-40.712358100319726,-74.39652220926557,-63.904877909676244,-36.87617397759827,6.72439390481607e-05
2,3,Weibull_Inverse-Weibull,2000,-3186.1297984388957,4.690205536120179,2.5,,,,-74.39652220926557,-63.904877909676244,-36.87617397759827,0.9998546569262912
3,3,Inverse-Weibull_Log-Logistic,2000,-3245.38714211719,2.6916322922708313,2.5,-43.35996654959324,-28.74586110948087,1.2738672945705583,-74.39652220926557,-63.904877909676244,-36.87617397759827,1.8399223799366636e-26
4,3,Inverse-Weibull_Lomax,2000,-3222.045487209863,0.0027536619324823393,2.5,-52.05901180283298,-43.283090550998935,-18.606501752310823,-74.39652220926557,-63.904877909676244,-36.87617397759827,2.52319855186963e-16
5,3,Inverse-Weibull_Inverse-Weibull,2000,-3206.0659382501367,3.4191231245183134,2.5,,,,-74.39652220926557,-63.904877909676244,-36.87617397759827,2.1967536832379436e-09
0,3,BMA,2000,,4.690118258851965,2.5,,,,-74.39652220926557,-63.904877909676244,-36.87617397759827,
0,4,Weibull_Log-Logistic,2000,-3245.9822432230967,4.298788587084293,2.5,-82.35931296512247,-69.62279131041684,-41.120692705184666,-74.39652220926557,-63.904877909676244,-36.87617397759827,9.981523152760283e-10
1,4,Weibull_Lomax,2000,-3242.6255261708934,5.173810650023842,2.5,,,,-74.39652220926557,-63.904877909676244,-36.87617397759827,2.864181343658261e-08
2,4,Weibull_Inverse-Weibull,2000,-3225.2571280219913,4.47314938782857,2.5,,,,-74.39652220926557,-63.904877909676244,-36.87617397759827,0.9999999703600342
3,4,Inverse-Weibull_Log-Logistic,2000,-3302.4124715311214,2.0704581560108375,2.5,-44.68600917138187,-30.551896779707985,-0.2550220433460052,-74.39652220926557,-63.904877909676244,-36.87617397759827,3.1035593275571465e-34
4,4,Inverse-Weibull_Lomax,2000,-3272.64157795966,0.005825615524626423,2.5,-62.565872177147476,-53.204436135881615,-27.914745384639996,-74.39652220926557,-63.904877909676244,-36.87617397759827,2.6375144713800216e-21
5,4,Inverse-Weibull_Inverse-Weibull,2000,-3303.3346322468997,2.9351759732276603,2.5,-54.84364374123585,-40.84896539899488,-10.955678504828883,-74.39652220926557,-63.904877909676244,-36.87617397759827,1.2341579396057707e-34
0,4,BMA,2000,,4.47314940772274,2.5,,,,-74.39652220926557,-63.904877909676244,-36.87617397759827,
0,5,Weibull_Log-Logistic,2000,-3167.8263832097055,2.5800034157262224,2.5,-42.98506307302632,-31.16706884879266,-3.9829250640878993,-74.39652220926557,-63.904877909676244,-36.87617397759827,1.5463344789468976e-18
1,5,Weibull_Lomax,2000,-3126.815738813777,3.0771162488460053,2.5,,,,-74.39652220926557,-63.904877909676244,-36.87617397759827,0.9999999999949591
2,5,Weibull_Inverse-Weibull,2000,-3152.8291925880303,4.595348901087347,2.5,,,,-74.39652220926557,-63.904877909676244,-36.87617397759827,5.040812813853273e-12
3,5,Inverse-Weibull_Log-Logistic,2000,-3234.279426035708,0.6981900269894268,2.5,-153.38822558812367,-113.19531996117965,-52.450184818280306,-74.39652220926557,-63.904877909676244,-36.87617397759827,2.1336031041731503e-47
4,5,Inverse-Weibull_Lomax,2000,-3200.104401338477,0.0027675403130658365,2.5,-49.15021499393946,-39.65797384442329,-15.46064022824671,-74.39652220926557,-63.904877909676244,-36.87617397759827,1.4829901943599965e-32
5,5,Inverse-Weibull_Inverse-Weibull,2000,-3246.44796389521,1.7277991078174733,2.5,-56.62876199864816,-37.282675622490196,-1.9024819747972361,-74.39652220926557,-63.904877909676244,-36.87617397759827,1.1076046983803364e-52
0,5,BMA,2000,,3.0771162488536583,2.5,,,,-74.39652220926557,-63.904877909676244,-36.87617397759827,
0,6,Weibull_Log-Logistic,2000,-3312.2895383396954,3.1117129858207853,2.5,-68.84451995775125,-56.081870580775956,-26.639023915701934,-74.39652220926557,-63.904877909676244,-36.87617397759827,0.3671372029582644
1,6,Weibull_Lomax,2000,-3312.3022128793436,3.587839359174038,2.5,-105.32601984881917,-92.664223226945,-62.40071720611456,-74.39652220926557,-63.904877909676244,-36.87617397759827,0.36251327291570473
