,sim,model_name,nobs,log_marg,γ_map,γ_true,cap005,cap01,cap05,cap005_true,cap01_true,cap05_true,posterior_probability
0,0,Weibull_Log-Logistic,500,-805.3117935474838,3.7153768133939855,2.5,-118.28226022329596,-96.2901728178813,-57.55387957476135,-73.0614361022353,-62.973054718988664,-36.80653433002538,0.37684421189394945
1,0,Weibull_Lomax,500,-805.4691133428864,3.9649665099700515,2.5,-129.98106292076602,-110.40890236773095,-72.7566903232088,-73.0614361022353,-62.973054718988664,-36.80653433002538,0.3219872909259462
2,0,Weibull_Inverse-Weibull,500,-805.5359555607831,4.094344522301094,2.5,-127.40420289966335,-103.55203424417708,-61.05763644307401,-73.0614361022353,-62.973054718988664,-36.80653433002538,0.30116848461369944
3,0,Inverse-Weibull_Log-Logistic,500,-822.7420992421813,0.027421542655895352,2.5,-904.8288964737634,-612.8388723411756,-257.6638931006979,-73.0614361022353,-62.973054718988664,-36.80653433002538,1.0145565710944699e-08
4,0,Inverse-Weibull_Lomax,500,-824.1750217264391,0.0025548888792267395,2.5,-61.23959112742833,-50.59956559628625,-23.773893359027245,-73.0614361022353,-62.973054718988664,-36.80653433002538,2.4208391832673454e-09
5,0,Inverse-Weibull_Inverse-Weibull,500,-849.18090832611,0.44757154847310593,2.5,-1340.1364728951364,-879.568509798301,-335.89401708843286,-73.0614361022353,-62.973054718988664,-36.80653433002538,3.3423149752598576e-20
0,0,BMA,500,,3.909874607842084,2.5,-124.79637550537556,-103.02327322825482,-63.504214517051736,-73.0614361022353,-62.973054718988664,-36.80653433002538,
0,1,Weibull_Log-Logistic,500,-818.2887896162489,3.698484916743325,2.5,-93.73372130404825,-81.40441457212674,-52.53987354903902,-73.0614361022353,-62.973054718988664,-36.80653433002538,0.14180477813587483
1,1,Weibull_Lomax,500,-818.36828391262,3.913432666745008,2.5,-109.75342451324155,-98.31257919059608,-69.86252427533711,-73.0614361022353,-62.973054718988664,-36.80653433002538,0.13096852320654495
2,1,Weibull_Inverse-Weibull,500,-816.6544416415751,3.8259405603042307,2.5,-106.01668296361456,-96.34106801682442,-69.47849922885378,-73.0614361022353,-62.973054718988664,-36.80653433002538,0.7269075365508468
3,1,Inverse-Weibull_Log-Logistic,500,-824.6162832753765,0.9758825721237442,2.5,-89.353116205381,-55.27721060686501,-3.1263647469660993,-73.0614361022353,-62.973054718988664,-36.80653433002538,0.00025333505222516607
4,1,Inverse-Weibull_Lomax,500,-826.8083145541466,3.4192435205627425,2.5,-73.92882976830907,-63.28811368277527,-36.099282430071966,-73.0614361022353,-62.973054718988664,-36.80653433002538,2.829490210863809e-05
5,1,Inverse-Weibull_Inverse-Weibull,500,-826.5257982421213,3.2594484113088935,2.5,-59.386604280637876,-46.22748966777796,-17.360171281398628,-73.0614361022353,-62.973054718988664,-36.80653433002538,3.7532152399598243e-05
0,1,BMA,500,,3.8185706643078126,2.5,-104.75741631754796,-94.467966080892,-67.10710646945992,-73.0614361022353,-62.973054718988664,-36.80653433002538,
0,2,Weibull_Log-Logistic,500,-836.7843826102473,5.069995682146317,2.5,-85.24767320354914,-73.7507697792056,-46.48187848134918,-73.0614361022353,-62.973054718988664,-36.80653433002538,0.38083999015734166
1,2,Weibull_Lomax,500,-837.0081088909642,5.373637140405799,2.5,-97.32893156288775,-86.53721091502828,-58.56828569131048,-73.0614361022353,-62.973054718988664,-36.80653433002538,0.3044945025171311
2,2,Weibull_Inverse-Weibull,500,-836.9753172726265,5.353579781211829,2.5,-92.09099192753638,-80.23949928252924,-52.00196017180658,-73.0614361022353,-62.973054718988664,-36.80653433002538,0.31464488421670733
3,2,Inverse-Weibull_Log-Logistic,500,-851.8126878431694,2.165113158034878,2.5,20.571345535158276,37.354422807571055,68.05460978722815,-73.0614361022353,-62.973054718988664,-36.80653433002538,1.1324851351878612e-07
4,2,Inverse-Weibull_Lomax,500,-846.6152121875656,0.028369111287371875,2.5,-80.41637024362635,-69.38697743218312,-40.4135364045948,-73.0614361022353,-62.973054718988664,-36.80653433002538,2.0477055496233687e-05
5,2,Inverse-Weibull_Inverse-Weibull,500,-853.0516973289868,4.296138966898848,2.5,-83.74968550234611,-72.21975707917562,-44.038534387900256,-73.0614361022353,-62.973054718988664,-36.80653433002538,3.280481005962685e-08
0,2,BMA,500,,5.251577530911848,2.5,-91.07945422117727,-79.68571436476876,-51.89885118330859,-73.0614361022353,-62.973054718988664,-36.80653433002538,
0,3,Weibull_Log-Logistic,500,-794.3821190189321,3.0804051239587356,2.5,-49.27103215964305,-38.47064620536397,-12.425952628416498,-73.0614361022353,-62.973054718988664,-36.80653433002538,0.3892923373726823
1,3,Weibull_Lomax,500,-794.7206162182467,3.5511993306245775,2.5,-92.812672380319,-81.80018305885365,-54.1260677379217,-73.0614361022353,-62.973054718988664,-36.80653433002538,0.2775034517969708
2,3,Weibull_Inverse-Weibull,500,-794.5379284573878,3.438216114493398,2.5,-70.47731208890227,-59.18447405487024,-32.098351915729324,-73.0614361022353,-62.973054718988664,-36.80653433002538,0.3331261119584304
3,3,Inverse-Weibull_Log-Logistic,500,-803.6416471444978,2.6760662733158456,2.5,-4.09741681791199,6.0898132321599325,30.07835732418142,-73.0614361022353,-62.973054718988664,-36.80653433002538,3.70607228212479e-05
4,3,Inverse-Weibull_Lomax,500,-804.6838016605159,3.2081140457391535,2.5,-58.59442180838029,-48.199325807938706,-21.789968051064445,-73.0614361022353,-62.973054718988664,-36.80653433002538,1.307109375766117e-05
5,3,Inverse-Weibull_Inverse-Weibull,500,-803.9231776468857,2.920890713819893,2.5,-27.067773578429453,-16.12678115512066,10.198120045291144,-73.0614361022353,-62.973054718988664,-36.80653433002538,2.796705533766162e-05
0,3,BMA,500,,3.3302305485442156,2.5,-68.41617994002047,-57.3929100117906,-30.54918282789277,-73.0614361022353,-62.973054718988664,-36.80653433002538,
0,4,Weibull_Log-Logistic,500,-843.9638618468127,3.856960584491457,2.5,-107.37007254266763,-95.74249541928504,-67.33082582919705,-73.0614361022353,-62.973054718988664,-36.80653433002538,0.3700504377489019
1,4,Weibull_Lomax,500,-844.258557587435,4.018298804056499,2.5,-119.64156617461852,-108.40959867496974,-80.8045501581296,-73.0614361022353,-62.973054718988664,-36.80653433002538,0.27559808040480827
2,4,Weibull_Inverse-Weibull,500,-844.0072118559214,4.01316191686045,2.5,-116.97407150224306,-104.66116106844855,-75.30001051706667,-73.0614361022353,-62.973054718988664,-36.80653433002538,0.35435148126517696
3,4,Inverse-Weibull_Log-Logistic,500,-868.6564133877594,0.9125759007257648,2.5,-114.88295148373837,-80.9344001103337,-27.30792999606807,-73.0614361022353,-62.973054718988664,-36.80653433002538,6.989112706171704e-12
4,4,Inverse-Weibull_Lomax,500,-864.249131283943,0.012054525773676692,2.5,-91.87117908937935,-80.84197064370689,-51.96279417185853,-73.0614361022353,-62.973054718988664,-36.80653433002538,5.73429909871599e-10
5,4,Inverse-Weibull_Inverse-Weibull,500,-870.9659497278735,3.7627831249835797,2.5,-71.90148943593583,-60.56371553400065,-32.20085418427776,-73.0614361022353,-62.973054718988664,-36.80653433002538,6.940698122417267e-13
0,4,BMA,500,,3.9567752593746315,2.5,-114.15526387986829,-102.39386713585888,-73.86805077966021,-73.0614361022353,-62.973054718988664,-36.80653433002538,
0,5,Weibull_Log-Logistic,500,-845.5780325192426,4.149874967450399,2.5,-137.71330170529046,-108.38803020994516,-61.01414949824938,-73.0614361022353,-62.973054718988664,-36.80653433002538,0.4180402567802411
1,5,Weibull_Lomax,500,-846.1656622114347,4.929377726130677,2.5,-174.68724288746847,-144.75943993024453,-93.03800774492753,-73.0614361022353,-62.973054718988664,-36.80653433002538,0.23228104602381583
2,5,Weibull_Inverse-Weibull,500,-845.7566543208444,4.933336347352515,2.5,-174.2263366832088,-139.28319579388724,-84.57038138556645,-73.0614361022353,-62.973054718988664,-36.80653433002538,0.34965814002452467
3,5,Inverse-Weibull_Log-Logistic,500,-857.3003036301969,1.9437416159770993,2.5,-27.709614741654647,-0.33041052579941127,44.747277838121434,-73.0614361022353,-62.973054718988664,-36.80653433002538,3.3907865122714563e-06
4,5,Inverse-Weibull_Lomax,500,-855.7589252011419,0.20030182982431877,2.5,-81.2587775633539,-66.7345464007646,-33.075102750778804,-73.0614361022353,-62.973054718988664,-36.80653433002538,1.583844691140757e-05
5,5,Inverse-Weibull_Inverse-Weibull,500,-858.2377381749782,3.608416398831463,2.5,-107.7264162412052,-84.6342281535947,-43.54645581684269,-73.0614361022353,-62.973054718988664,-36.80653433002538,1.327937994692606e-06
0,5,BMA,500,,4.604811577837644,2.5,-159.067420364013,-127.63810776858034,-76.68848869566774,-73.0614361022353,-62.973054718988664,-36.80653433002538,
