,sim,model_name,nobs,log_marg,γ_map,γ_true,cap005,cap01,cap05,cap005_true,cap01_true,cap05_true,posterior_probability
0,0,Weibull_Log-Logistic,500,-395.8044738033042,1.9084424594857627,1.5,-411.1289347354065,-270.36438836254393,-84.81507063073713,-169.54582834941203,-125.42571575259848,-54.56573389358636,0.2837345513443569
1,0,Weibull_Lomax,500,-395.2503822840203,1.6094265772599265,1.5,-218.55916197219818,-151.21024410564414,-53.19772102464145,-169.54582834941203,-125.42571575259848,-54.56573389358636,0.4938000321389045
2,0,Weibull_Inverse-Weibull,500,-396.0477412724657,2.2787644871397874,1.5,-513.3564646076336,-332.8607792474134,-110.96214987254953,-169.54582834941203,-125.42571575259848,-54.56573389358636,0.22246541549570856
3,0,Inverse-Weibull_Log-Logistic,500,-416.81406312849964,0.6015802661493651,1.5,-459.2111836857866,-289.24444919449536,-77.3691980328282,-169.54582834941203,-125.42571575259848,-54.56573389358636,2.1309021794540657e-10
4,0,Inverse-Weibull_Lomax,500,-415.5362533399393,0.20425292831832342,1.5,-262.403483015496,-175.54734965175604,-55.451664625349956,-169.54582834941203,-125.42571575259848,-54.56573389358636,7.64731982696371e-10
5,0,Inverse-Weibull_Inverse-Weibull,500,-418.4097535373793,1.0014016003678494,1.5,-663.7457909213488,-385.2815523692998,-75.13438816444364,-169.54582834941203,-125.42571575259848,-54.56573389358636,4.3207981087550395e-11
0,0,BMA,500,,1.8431722493609488,1.5,-338.78006457150354,-225.42935360066676,-75.01924320216906,-169.54582834941203,-125.42571575259848,-54.56573389358636,
0,1,Weibull_Log-Logistic,500,-437.2786220360474,3.0750236739552923,1.5,-456.5159351049757,-304.4951380376924,-117.12082768103517,-169.54582834941203,-125.42571575259848,-54.56573389358636,0.2562867726192795
1,1,Weibull_Lomax,500,-436.5142104501017,2.0653273415650317,1.5,-322.6953561992901,-228.19130232533624,-98.92680098151826,-169.54582834941203,-125.42571575259848,-54.56573389358636,0.5504348537459326
2,1,Weibull_Inverse-Weibull,500,-437.56078819062805,3.50522335857962,1.5,-500.9997339589769,-332.41627821066834,-126.65977158804866,-169.54582834941203,-125.42571575259848,-54.56573389358636,0.19327825154570877
3,1,Inverse-Weibull_Log-Logistic,500,-455.85469556237877,0.8702008107049328,1.5,-1329.7263267940768,-785.0232035957459,-209.14921165673417,-169.54582834941203,-125.42571575259848,-54.56573389358636,2.1940168781590525e-09
4,1,Inverse-Weibull_Lomax,500,-451.8571099297868,0.11727964062776729,1.5,-681.761467828401,-458.3482842477434,-179.05665656357354,-169.54582834941203,-125.42571575259848,-54.56573389358636,1.1950039625248373e-07
5,1,Inverse-Weibull_Inverse-Weibull,500,-457.57014518874956,2.642486336607412,1.5,-529.2818975782486,-339.89756166722367,-107.82293877510604,-169.54582834941203,-125.42571575259848,-54.56573389358636,3.9466594858315267e-10
