,sim,model_name,nobs,log_marg,γ_map,γ_true,cap005,cap01,cap05,cap005_true,cap01_true,cap05_true,posterior_probability
0,0,Weibull_Log-Logistic,1000,-1612.1582699546534,3.8580906431817765,2.5,-90.7064647406576,-74.89902918111602,-42.2616078571319,-73.25996487903147,-63.237771686255435,-36.41477555206036,0.4072238874626268
1,0,Weibull_Lomax,1000,-1612.6339676995517,3.972559181872632,2.5,-96.17750151091978,-82.68554222739628,-51.869463047087386,-73.25996487903147,-63.237771686255435,-36.41477555206036,0.253069810461849
2,0,Weibull_Inverse-Weibull,1000,-1612.3395516541304,3.8723627034871564,2.5,-90.73325303477051,-74.47660192091703,-41.99942562692131,-73.25996487903147,-63.237771686255435,-36.41477555206036,0.339706302036846
3,0,Inverse-Weibull_Log-Logistic,1000,-1649.4993972988411,0.8909380717236495,2.5,-68.63606453508386,-0.5309244372545606,85.44872357877735,-73.25996487903147,-63.237771686255435,-36.41477555206036,2.47051611924597e-17
4,0,Inverse-Weibull_Lomax,1000,-1635.2356228894294,0.006620225220173456,2.5,-61.0104838093258,-51.14109839122648,-25.113894416678495,-73.25996487903147,-63.237771686255435,-36.41477555206036,3.8678195922882354e-11
5,0,Inverse-Weibull_Inverse-Weibull,1000,-1652.8455679131841,3.274085026964796,2.5,-66.9615977049563,-51.377308983911675,-19.15802008291558,-73.25996487903147,-63.237771686255435,-36.41477555206036,8.700901627339876e-19
0,0,BMA,1000,,3.891907483251936,2.5,-92.10011913032004,-76.7260593585362,-44.60400099245097,-73.25996487903147,-63.237771686255435,-36.41477555206036,
0,1,Weibull_Log-Logistic,1000,-1643.1723808156448,3.1043706711191743,2.5,-65.5810371230964,-53.3236355405628,-25.575012639206356,-73.25996487903147,-63.237771686255435,-36.41477555206036,8.977283620073217e-06
1,1,Weibull_Lomax,1000,-1641.7802435963993,4.03346940482444,2.5,-104.19029261852234,-94.77986918613743,-69.05589844257943,-73.25996487903147,-63.237771686255435,-36.41477555206036,3.611956060482864e-05
2,1,Weibull_Inverse-Weibull,1000,-1643.5537482828554,3.501257562737113,2.5,-91.01920166825893,-78.72520747410573,-49.09808663348281,-73.25996487903147,-63.237771686255435,-36.41477555206036,6.130828385695383e-06
3,1,Inverse-Weibull_Log-Logistic,1000,-1631.551618831024,3.5749309087198817,2.5,,,,-73.25996487903147,-63.237771686255435,-36.41477555206036,0.9999487723261896
4,1,Inverse-Weibull_Lomax,1000,-1660.062081233014,3.9828459993159204,2.5,-66.74239601225055,-57.30356869135895,-32.667949182396306,-73.25996487903147,-63.237771686255435,-36.41477555206036,4.149934611886609e-13
5,1,Inverse-Weibull_Inverse-Weibull,1000,-1659.4248737594726,2.1888504444357206,2.5,-0.16212219701952565,13.00897097653276,40.955647504680734,-73.25996487903147,-63.237771686255435,-36.41477555206036,7.848324358459553e-13
0,1,BMA,1000,,3.574942794896609,2.5,,,,-73.25996487903147,-63.237771686255435,-36.41477555206036,
0,2,Weibull_Log-Logistic,1000,-1616.7787369630246,4.270000702166955,2.5,-75.51209899281092,-63.49048104754486,-34.492008949544314,-73.25996487903147,-63.237771686255435,-36.41477555206036,0.34421677227423975
1,2,Weibull_Lomax,1000,-1616.8086385836325,4.561140808399112,2.5,-88.28388114324981,-76.43470012619765,-47.74648319392077,-73.25996487903147,-63.237771686255435,-36.41477555206036,0.33407649385176713
2,2,Weibull_Inverse-Weibull,1000,-1616.846368295345,4.680930022621115,2.5,-88.25116832904656,-75.05699100227227,-44.50512250319943,-73.25996487903147,-63.237771686255435,-36.41477555206036,0.3217067056830156
3,2,Inverse-Weibull_Log-Logistic,1000,-1646.1885427768802,2.8013652211725857,2.5,-24.526504433922128,-11.900129555734697,15.863675307177669,-73.25996487903147,-63.237771686255435,-36.41477555206036,5.811866757020881e-14
4,2,Inverse-Weibull_Lomax,1000,-1633.0965207493596,0.015278492680347266,2.5,-60.34093123520784,-50.84444537506458,-24.73683400015243,-73.25996487903147,-63.237771686255435,-36.41477555206036,2.8190876084794342e-08
5,2,Inverse-Weibull_Inverse-Weibull,1000,-1646.483678203268,3.35483445667491,2.5,-60.35932214280118,-45.3822071445178,-14.43066330991423,-73.25996487903147,-63.237771686255435,-36.41477555206036,4.3265324164115466e-14
0,2,BMA,1000,,4.499462366084021,2.5,-83.87709479580388,-71.5358638302689,-42.14130273291977,-73.25996487903147,-63.237771686255435,-36.41477555206036,
0,3,Weibull_Log-Logistic,1000,-1602.7147817577102,3.0648848116423597,2.5,-105.06837371911845,-75.74740174242459,-29.403221029103975,-73.25996487903147,-63.237771686255435,-36.41477555206036,0.3266245908157538
1,3,Weibull_Lomax,1000,-1602.8570147345688,3.2674751070256907,2.5,-124.11332025591659,-98.23251247756976,-52.026679318176335,-73.25996487903147,-63.237771686255435,-36.41477555206036,0.28332042309094574
2,3,Weibull_Inverse-Weibull,1000,-1602.5373058464143,3.138628771423977,2.5,-119.67034209425344,-86.826659906262,-36.005661345966594,-73.25996487903147,-63.237771686255435,-36.41477555206036,0.39005485472394197
3,3,Inverse-Weibull_Log-Logistic,1000,-1618.5390966341208,2.1699395269057384,2.5,-23.866230257261233,5.022906335568511,46.98923272153092,-73.25996487903147,-63.237771686255435,-36.41477555206036,4.381635513658494e-08
