,sim,model_name,nobs,γ_map,log_marg,Wass_dist,q95,q99,q995,posterior_probability
1,14,Exp_Lognormal_continuous,1000.0,0.10885984278629293,-606.8632387453454,59.21598215580087,4.586882340618104,12.877723776227867,18.690757741524067,1.2306535743453423e-24
2,14,Exp_Log-Logistic_continuous,1000.0,0.08171290025994828,-612.7511827195275,1252.771718895102,7.095523102407242,34.6900854708565,67.83595196679926,3.412198122470368e-27
3,14,Exp_Lomax_continuous,1000.0,0.10818658017814013,-607.7847196539159,135.02000366390712,4.3808931593503075,13.899502704362021,22.144615030583736,4.897131247341199e-25
4,14,Exp_Burr_continuous,1000.0,3.467040412427927e-05,-572.1351046986445,146.19385328202898,5.076132225667607,15.346136450489212,23.07735442741432,1.4872117249576593e-09
5,14,Exp_Pareto-Tail_continuous,1000.0,0.3476498845104923,-717.4525800703595,8794.988868732054,8.659942096755913,110.29870918832785,329.983246416532,1.1529092474036528e-72
6,14,Exp_GPD-Tail_continuous,1000.0,0.11040687449341474,-608.9076157589226,140.3077895695111,4.411132437098786,14.128283254422058,22.60467297787727,1.5932141741417426e-25
7,14,Exp_Inverse-Gamma_continuous,1000.0,0.177071391271407,-619.1980313653783,462.1782082516557,4.75248853604171,20.69367539547784,38.49598115834851,5.410077009687016e-30
8,14,Exp_Inverse-Weibull_continuous,1000.0,0.17274805555994566,-621.5463739291753,662.3069359913455,5.149609449972559,24.710147528139714,48.05852640288322,5.168103827022973e-31
9,14,Exp_Exp_continuous,1000.0,0.2829082406494669,-699.467099867457,317.283325143398,4.318234658740039,7.148714331606243,8.367735659930986,7.460877839608401e-65
10,14,Exp_Gamma_continuous,1000.0,0.0020491573038837418,-588.7894880042145,191.70048661075975,4.725595914578662,9.011146318016472,10.977709763437815,8.698933915387311e-17
11,14,Gamma_Weibull_continuous,1000.0,0.3450767786896444,-555.0713803696821,132.105437594293,5.122468138551994,11.980127823107978,15.846837442268225,0.03828724501175628
12,14,Gamma_Lognormal_continuous,1000.0,0.5555320496167339,-555.3391272160255,74.282014932008,4.398064135102686,11.912633368638126,17.00551806038675,0.029293626476551933
13,14,Gamma_Log-Logistic_continuous,1000.0,1.2748967496090648,-558.8512189699554,84.87537863257145,4.490050997674189,12.856090592094915,19.7609786312114,0.0008739590237851251
14,14,Gamma_Lomax_continuous,1000.0,0.6262890650897781,-556.718028777213,78.35392674992744,4.467508318839464,12.646601277310765,18.96343277962842,0.007377747718039025
15,14,Gamma_Burr_continuous,1000.0,0.576783289303753,-557.9582193343053,83.69102076982857,4.192647651279913,10.970091324224995,15.841947487160724,0.0021345969521896465
16,14,Gamma_Pareto-Tail_continuous,1000.0,2.4873152749014613,-565.157818886639,255.8985968726954,4.264656894292784,15.748889126143695,27.644014011229956,1.594298096248555e-06
17,14,Gamma_GPD-Tail_continuous,1000.0,0.7213255367904672,-556.8221818655902,101.12368125068271,4.254552976590276,11.904779029237034,17.715188249667335,0.006647995072805731
18,14,Gamma_Inverse-Gamma_continuous,1000.0,1.3648887903990536,-559.2415479766795,85.7473885212482,4.591785085494848,13.321965042223383,20.4201164422102,0.0005915253172581207
19,14,Gamma_Inverse-Weibull_continuous,1000.0,1.5526470736264157,-559.8203213881189,94.7213694933745,4.404210329767011,12.794385639836037,19.875896128951354,0.00033160054700474904
20,14,Gamma_Exp_continuous,1000.0,3.016809829602304,-564.1808449426688,95.22383951414969,5.079446196987192,11.007490030578992,13.560559608549738,4.235102446727577e-06
21,14,Gamma_Gamma_continuous,1000.0,1.16708499727495,-560.2690531607288,166.18162968053431,5.313936668471797,11.018067169743517,13.717943403435129,0.00021170616523859221
22,14,Weibull_Weibull_continuous,1000.0,1.307639352919345,-553.9592711036368,230.66662223743967,5.6970584694227,13.441681545600659,17.84415744054968,0.11642253059180727
