,sim,model_name,nobs,log_marg,γ_map,γ_true,cap005,cap01,cap05,cap005_true,cap01_true,cap05_true,posterior_probability
0,0,Weibull_Log-Logistic,1000,-695.1989510958736,2.3872084284749358,1.5,-432.16875958895383,-276.81029271492457,-77.12626950224642,-170.08350669275964,-124.97720512198138,-54.789275560202476,0.21373306819897103
1,0,Weibull_Lomax,1000,-694.0832780055273,1.6080965800426457,1.5,-215.51412288867726,-144.50544699513256,-44.31124089470472,-170.08350669275964,-124.97720512198138,-54.789275560202476,0.6522324272549619
2,0,Weibull_Inverse-Weibull,1000,-695.6655817240319,3.5155914195847333,1.5,-434.8465821224692,-281.25264258450557,-91.15841203689024,-170.08350669275964,-124.97720512198138,-54.789275560202476,0.13403450454606708
3,0,Inverse-Weibull_Log-Logistic,1000,-740.6357532050445,0.8034129863676156,1.5,-651.1894650766791,-409.24829377265894,-124.22025921506031,-170.08350669275964,-124.97720512198138,-54.789275560202476,3.9529315029401975e-21
4,0,Inverse-Weibull_Lomax,1000,-738.6268186092137,0.36366788097621844,1.5,-279.34401234896757,-192.49322268229108,-65.99328754483277,-170.08350669275964,-124.97720512198138,-54.789275560202476,2.947056746145773e-20
5,0,Inverse-Weibull_Inverse-Weibull,1000,-742.0724525656647,1.0657208230090343,1.5,-940.2299977248384,-558.7760918388884,-148.9336145314657,-170.08350669275964,-124.97720512198138,-54.789275560202476,9.396555525551773e-22
0,0,BMA,1000,,2.0302886716204545,1.5,-291.21850063443253,-191.11221021730094,-57.60403501545927,-170.08350669275964,-124.97720512198138,-54.789275560202476,
0,1,Weibull_Log-Logistic,1000,-821.0244458843971,2.2682479163065237,1.5,-426.5338308032391,-275.40414902536133,-91.60610921662251,-170.08350669275964,-124.97720512198138,-54.789275560202476,0.2762059078429953
1,1,Weibull_Lomax,1000,-820.3619385359802,2.029216655268948,1.5,-236.68172726606417,-166.78514896404508,-65.2268857021343,-170.08350669275964,-124.97720512198138,-54.789275560202476,0.5357426841362066
2,1,Weibull_Inverse-Weibull,1000,-821.4088771580466,2.7106614035426464,1.5,-524.6637401228603,-344.26577974074377,-116.28564110732147,-170.08350669275964,-124.97720512198138,-54.789275560202476,0.18805140509774038
3,1,Inverse-Weibull_Log-Logistic,1000,-841.0147893778155,1.8201309168448847,1.5,-391.959607032326,-252.33834987101469,-69.8776462538952,-170.08350669275964,-124.97720512198138,-54.789275560202476,5.748269126498969e-10
4,1,Inverse-Weibull_Lomax,1000,-839.7676358113374,0.9035004931015225,1.5,-187.71580791588337,-118.6987215286584,-21.288394224720395,-170.08350669275964,-124.97720512198138,-54.789275560202476,2.000640264340513e-09
5,1,Inverse-Weibull_Inverse-Weibull,1000,-841.5178336986247,2.3478368995194723,1.5,-504.8490907472422,-324.4479338451274,-97.30124105931208,-170.08350669275964,-124.97720512198138,-54.789275560202476,3.475903576410667e-10
0,1,BMA,1000,,2.22338514187444,1.5,-343.275422124555,-230.16184048794742,-82.11465370355108,-170.08350669275964,-124.97720512198138,-54.789275560202476,
0,2,Weibull_Log-Logistic,1000,-817.7553666497456,3.227853467075859,1.5,-225.3601781267754,-154.59970852180157,-58.72901800809619,-170.08350669275964,-124.97720512198138,-54.789275560202476,0.2031744439641672
1,2,Weibull_Lomax,1000,-816.5813792161198,1.9746241950607175,1.5,-144.34032316034882,-105.15612822909833,-44.68546160053947,-170.08350669275964,-124.97720512198138,-54.789275560202476,0.6572420538415347
2,2,Weibull_Inverse-Weibull,1000,-818.130768666533,3.734642890897836,1.5,-246.30078382500128,-169.0039690748247,-64.7151924139218,-170.08350669275964,-124.97720512198138,-54.789275560202476,0.1395834908732427
3,2,Inverse-Weibull_Log-Logistic,1000,-845.572481373105,0.1233358772729157,1.5,-3973.741362630335,-2292.7616431328775,-668.1818612929943,-170.08350669275964,-124.97720512198138,-54.789275560202476,1.6867458606491752e-13
4,2,Inverse-Weibull_Lomax,1000,-834.4582928352668,0.08900029816978522,1.5,-424.4945274288981,-287.7477890614488,-111.15645592821268,-170.08350669275964,-124.97720512198138,-54.789275560202476,1.1320885706581473e-08
5,2,Inverse-Weibull_Inverse-Weibull,1000,-850.7098455064125,2.380648375599971,1.5,-315.4534351801152,-199.2770403813861,-52.45410515310068,-170.08350669275964,-124.97720512198138,-54.789275560202476,9.906511737282616e-16
0,2,BMA,1000,,2.4749178877818845,1.5,-175.03348734606595,-124.11390674010008,-50.334573865723186,-170.08350669275964,-124.97720512198138,-54.789275560202476,
0,3,Weibull_Log-Logistic,1000,-828.5298385516,2.646750537032302,1.5,-513.5368279945707,-341.55392145915334,-121.13965174227572,-170.08350669275964,-124.97720512198138,-54.789275560202476,0.20364359420287503
1,3,Weibull_Lomax,1000,-827.3526705760032,1.8076632628334424,1.5,-275.65567806011603,-193.374725747942,-77.4152335877641,-170.08350669275964,-124.97720512198138,-54.789275560202476,0.6608582402294264
2,3,Weibull_Inverse-Weibull,1000,-828.937251828329,3.0287169701634404,1.5,-589.2711128544291,-390.8556283930486,-139.9696382334377,-170.08350669275964,-124.97720512198138,-54.789275560202476,0.13549816556164998
3,3,Inverse-Weibull_Log-Logistic,1000,-859.8882851877364,0.2098035813234451,1.5,-5712.098485933561,-3132.840075908134,-805.3167813580238,-170.08350669275964,-124.97720512198138,-54.789275560202476,4.898582406474706e-15
4,3,Inverse-Weibull_Lomax,1000,-852.7704840675963,0.05336817218513488,1.5,-1441.2649192844272,-890.105703456268,-300.9670045003318,-170.08350669275964,-124.97720512198138,-54.789275560202476,6.043550676769544e-12
5,3,Inverse-Weibull_Inverse-Weibull,1000,-862.8669384177479,2.1966332003156714,1.5,-629.1252276069417,-398.00452420560055,-122.947205235128,-170.08350669275964,-124.97720512198138,-54.789275560202476,2.4914820181671003e-16
0,3,BMA,1000,,2.1439885485860484,1.5,-366.59296653940123,-250.30876979476028,-94.79543833382286,-170.08350669275964,-124.97720512198138,-54.789275560202476,
0,4,Weibull_Log-Logistic,1000,-750.8454917346344,2.8730034703861373,1.5,-340.55357781502937,-229.31409609945752,-75.49962366071752,-170.08350669275964,-124.97720512198138,-54.789275560202476,0.24446560995191915
1,4,Weibull_Lomax,1000,-749.9944544839736,1.8453194059127649,1.5,-220.23827358486693,-151.87123537412214,-56.04692101009458,-170.08350669275964,-124.97720512198138,-54.789275560202476,0.5725567717206699
2,4,Weibull_Inverse-Weibull,1000,-751.1352025379247,3.22033134820527,1.5,-384.1165306870445,-250.71108743408087,-84.38760303286756,-170.08350669275964,-124.97720512198138,-54.789275560202476,0.18297761832715875
3,4,Inverse-Weibull_Log-Logistic,1000,-785.7881693893728,0.20538526511113683,1.5,-1997.0735060208103,-1203.1055903405854,-375.3848815361546,-170.08350669275964,-124.97720512198138,-54.789275560202476,1.6323214411115127e-16
4,4,Inverse-Weibull_Lomax,1000,-778.4452867240889,0.11401147751235867,1.5,-411.4598222721885,-280.1600612010572,-100.62781201643878,-170.08350669275964,-124.97720512198138,-54.789275560202476,2.5221975998127924e-13
5,4,Inverse-Weibull_Inverse-Weibull,1000,-791.6337697310811,1.7347845295892752,1.5,-599.6056467586398,-362.91766039663025,-82.29643358082376,-170.08350669275964,-124.97720512198138,-54.789275560202476,4.721649155323729e-19
0,4,BMA,1000,,2.348149227943762,1.5,-279.63728100025514,-188.8888322835353,-65.98814832709806,-170.08350669275964,-124.97720512198138,-54.789275560202476,
0,5,Weibull_Log-Logistic,1000,-747.1593990051006,2.6766499362625455,1.5,-241.58683585905956,-154.5649115389286,-38.19059279654343,-170.08350669275964,-124.97720512198138,-54.789275560202476,0.22979113800511078
1,5,Weibull_Lomax,1000,-746.202087468402,1.702083571904037,1.5,-111.80942721103364,-71.95550173708574,-8.983149848277812,-170.08350669275964,-124.97720512198138,-54.789275560202476,0.5985334046686134
2,5,Weibull_Inverse-Weibull,1000,-747.4509639874148,3.2206945601913732,1.5,-254.16638230074847,-166.72338582174658,-48.424004465498456,-170.08350669275964,-124.97720512198138,-54.789275560202476,0.1716754573262758
3,5,Inverse-Weibull_Log-Logistic,1000,-794.6183793477528,0.474102705204701,1.5,-597.5559343426239,-373.1217253368249,-107.51556836384438,-170.08350669275964,-124.97720512198138,-54.789275560202476,5.625485328322798e-22
4,5,Inverse-Weibull_Lomax,1000,-789.1806261535172,0.18362875125144967,1.5,-170.20200759412046,-115.96895317736157,-36.11661131227879,-170.08350669275964,-124.97720512198138,-54.789275560202476,1.293439747028568e-19
5,5,Inverse-Weibull_Inverse-Weibull,1000,-797.4092888049905,1.6338279645103677,1.5,-329.7706636486561,-185.57732803680165,-15.810536630339845,-170.08350669275964,-124.97720512198138,-54.789275560202476,3.452100411491002e-23
0,5,BMA,1000,,2.186738521746418,1.5,-166.0703210002207,-107.20773186545941,-22.465788155329626,-170.08350669275964,-124.97720512198138,-54.789275560202476,
0,6,Weibull_Log-Logistic,1000,-779.7037140725117,1.2812308646733004,1.5,-1132.6342779172378,-710.6422557534837,-226.69194370557182,-170.08350669275964,-124.97720512198138,-54.789275560202476,0.1425517416069597
1,6,Weibull_Lomax,1000,-778.0294509177785,0.849569135302549,1.5,-447.9136073564606,-298.58519595919785,-102.0585272984661,-170.08350669275964,-124.97720512198138,-54.789275560202476,0.7604939736958753
2,6,Weibull_Inverse-Weibull,1000,-780.0891795297221,1.4569286998072684,1.5,-1466.957435747837,-904.3619036128725,-276.05541950023985,-170.08350669275964,-124.97720512198138,-54.789275560202476,0.0969542846934221
