,sim,model_name,nobs,γ_map,log_marg,Wass_dist,posterior_probability
48,76,Inverse-Weibull_Burr_continuous,250.0,0.049015701767813634,-134.80363714458036,18.059276692888048,2.8092616304728426e-07
49,76,Inverse-Weibull_Pareto-Tail_continuous,250.0,1.6770879449355633,-145.01166414998207,30.32197451478254,1.0358631602733309e-11
50,76,Inverse-Weibull_GPD-Tail_continuous,250.0,0.056404173152349656,-133.91321475387824,13.174835695142892,6.843806444375454e-07
51,76,Inverse-Weibull_Inverse-Gamma_continuous,250.0,0.22919680040614845,-137.74401828160163,16.287718184459305,1.48457070041962e-08
52,76,Inverse-Weibull_Inverse-Weibull_continuous,250.0,0.22237751916523812,-138.18900005524938,32.29123346376411,9.51366284094183e-09
53,76,Inverse-Weibull_Exp_continuous,250.0,1.3902005139348153,-148.7098665676948,50.01568381876261,2.5656268088991355e-13
54,76,Inverse-Weibull_Gamma_continuous,250.0,0.0036616615612444048,-136.3541184142678,44.346320426847484,5.95973196152366e-08
55,76,Inverse-Gamma_Weibull_continuous,250.0,0.0001953222090854489,-149.50404577874494,28.043670072337484,1.15954027007267e-13
56,76,Inverse-Gamma_Lognormal_continuous,250.0,0.0031080479419445003,-162.21904787048527,99.45018836775482,3.485223150550157e-19
57,76,Inverse-Gamma_Log-Logistic_continuous,250.0,0.0016750664309744515,-160.09101083513775,250.00782947910704,2.9270175870142235e-18
58,76,Inverse-Gamma_Lomax_continuous,250.0,0.0032623612333839997,-158.3158322540484,24.617810725688916,1.7273311065624083e-17
59,76,Inverse-Gamma_Burr_continuous,250.0,8.365381891666237e-05,-149.6197770775898,27.87939665948921,1.0328193633897769e-13
60,76,Inverse-Gamma_Pareto-Tail_continuous,250.0,3.536870227143028,-266.8707832662976,74.16135385414921,1.2375404017467714e-64
61,76,Inverse-Gamma_GPD-Tail_continuous,250.0,0.0033903855455414533,-157.5261297132,29.834188555288183,3.804863227425177e-17
62,76,Inverse-Gamma_Inverse-Gamma_continuous,250.0,0.06654347152338078,-186.25385806881854,116.94651316684853,1.270706195647254e-29
63,76,Inverse-Gamma_Inverse-Weibull_continuous,250.0,0.04134984432245604,-185.7370084676491,334.65814218631556,2.1306400055138578e-29
64,76,Inverse-Gamma_Exp_continuous,250.0,0.02547556808872821,-193.69510630151254,77.5189016265889,7.45336005473527e-33
65,76,Inverse-Gamma_Gamma_continuous,250.0,9.755111360700252e-05,-152.5999075675131,44.97277835143231,5.245297730552699e-15
66,76,Inverse-Gaussian_Weibull_continuous,250.0,4.2974547137561175e-05,-147.81940310188824,27.781227077845923,6.250530152288001e-13
67,76,Inverse-Gaussian_Lognormal_continuous,250.0,0.000614404661906546,-167.98566278362478,146.51184345751338,1.0909919701407087e-21
68,76,Inverse-Gaussian_Log-Logistic_continuous,250.0,0.00013560306397514388,-159.62243365434452,420.2124516921388,4.6765525180375375e-18
69,76,Inverse-Gaussian_Lomax_continuous,250.0,0.0004605247359452245,-163.8076703435724,34.81039840100383,7.117059822010138e-20
70,76,Inverse-Gaussian_Burr_continuous,250.0,6.909681587907765e-05,-153.50662817221598,31.083869546146854,2.1182947465570236e-15
71,76,Inverse-Gaussian_Pareto-Tail_continuous,250.0,4.1884017096641025e-05,-455.2304871846902,1264996593.3375223,1.9452676365105627e-146
72,76,Inverse-Gaussian_GPD-Tail_continuous,250.0,0.0004229225537969754,-160.82007536158272,52.76213098620426,1.4118762446426576e-18
73,76,Inverse-Gaussian_Inverse-Gamma_continuous,250.0,0.005699725767180721,-234.5604282474743,7376.083105810862,1.3328101123654023e-50
