,sim,method,nobs,cap005,cap01,cap05,cap005_true,cap01_true,cap05_true
0,99,Exp_Weibull_continuous,1000,0.0025550134878616487,-599.9638150304517,145.58346283978602,-148.34744826826645,-110.80781083809734,-47.10230907929297
0,99,Exp_Weibull_continuous,1000,0.0025550134878616487,-599.9638150304517,145.58346283978602,-148.34744826826645,-110.80781083809734,-47.10230907929297
0,99,Exp_Weibull_continuous,1000,0.0025550134878616487,-599.9638150304517,145.58346283978602,-148.34744826826645,-110.80781083809734,-47.10230907929297
1,99,Exp_Lognormal_continuous,1000,0.09950874490769157,-616.3320323914725,59.438257367204855,-148.34744826826645,-110.80781083809734,-47.10230907929297
1,99,Exp_Lognormal_continuous,1000,0.09950874490769157,-616.3320323914725,59.438257367204855,-148.34744826826645,-110.80781083809734,-47.10230907929297
1,99,Exp_Lognormal_continuous,1000,0.09950874490769157,-616.3320323914725,59.438257367204855,-148.34744826826645,-110.80781083809734,-47.10230907929297
2,99,Exp_Log-Logistic_continuous,1000,0.11457940677569015,-620.4227411266462,261.80139589212837,-148.34744826826645,-110.80781083809734,-47.10230907929297
2,99,Exp_Log-Logistic_continuous,1000,0.11457940677569015,-620.4227411266462,261.80139589212837,-148.34744826826645,-110.80781083809734,-47.10230907929297
2,99,Exp_Log-Logistic_continuous,1000,0.11457940677569015,-620.4227411266462,261.80139589212837,-148.34744826826645,-110.80781083809734,-47.10230907929297
3,99,Exp_Lomax_continuous,1000,0.10109666459112168,-616.4124721993469,99.02594868667711,-148.34744826826645,-110.80781083809734,-47.10230907929297
3,99,Exp_Lomax_continuous,1000,0.10109666459112168,-616.4124721993469,99.02594868667711,-148.34744826826645,-110.80781083809734,-47.10230907929297
3,99,Exp_Lomax_continuous,1000,0.10109666459112168,-616.4124721993469,99.02594868667711,-148.34744826826645,-110.80781083809734,-47.10230907929297
4,99,Exp_Burr_continuous,1000,0.0005718426880399059,-596.9312960690793,88.84400375076908,-148.34744826826645,-110.80781083809734,-47.10230907929297
